RANK,NAME,NET WORTH,AGE,STATE,SOURCE,PHILANTHROPY SCORE,INDUSTRY,Self-Made Score,Source of Wealth,Residence,Citizenship,Marital Status,Children,Education,Age,Philanthropy Score,Agent,Agency,Lifetime Giving,Giving as a percentage of net worth
14,Alice Walton,$66.5 B,73,Texas,Walmart,2,FASHION & RETAIL,Walmart,74,1,1,2,,2,74,Walmart,,,,
15,Julia Koch & family,$59.8 B,61,New York,Koch Industries,2,DIVERSIFIED,Koch Industries,62,1,1,2,2,"New York, New York",62,Koch Industries,,,,
16,Charles Koch & family,$54.5 B,87,Kansas,Koch Industries,2,DIVERSIFIED,Koch Industries,88,5,5,2,2,"Wichita, Kansas",88,Koch Industries,,,,
17,Jensen Huang,$40.7 B,60,California,Semiconductors,1,TECHNOLOGY,"Semiconductors, Self Made",61,8,8,1,,1,61,"Semiconductors, Self Made",,,,
18,Phil Knight & family,$39.5 B,85,Oregon,Nike,3,FASHION & RETAIL,"Nike, Self Made",86,8,8,3,3,"Hillsboro, Oregon",86,"Nike, Self Made",,,,
19,Jacqueline Mars,$38.9 B,83,Virginia,"Candy, pet food",None,FOOD & BEVERAGE,"Candy, pet food",84,"Candy, pet food",2,2,"The Plains, Virginia","The Plains, Virginia",84,,,,,
19,John Mars,$38.9 B,87,Wyoming,"Candy, pet food",None,FOOD & BEVERAGE,"Candy, pet food",88,"Candy, pet food",2,2,"Jackson, Wyoming","Jackson, Wyoming",88,,,,,
21,MacKenzie Scott,$37.1 B,53,Washington,Amazon,5,TECHNOLOGY,Amazon,54,3,3,5,5,"Seattle, Washington",54,Amazon,,,,
22,Ken Griffin,$35.4 B,54,Florida,Hedge funds,3,FINANCE & INVESTMENTS,"Hedge funds, Self Made",55,8,8,3,3,"Miami, Florida",55,"Hedge funds, Self Made",,,,
23,Stephen Schwarzman,$34.5 B,76,New York,Investments,2,FINANCE & INVESTMENTS,"Investments, Self Made",77,8,8,2,2,"New York, New York",77,"Investments, Self Made",,,,
24,Miriam Adelson & family,$32.8 B,77,Nevada,Casinos,2,GAMBLING & CASINOS,Casinos,78,2,2,2,2,"Las Vegas, Nevada",78,Casinos,,,,
25,Len Blavatnik,$30.7 B,66,,"Music, chemicals",2,DIVERSIFIED,"Music, chemicals, Self Made",67,9,9,2,,2,67,"Music, chemicals, Self Made",,,,
25,Jim Simons,$30.7 B,85,New York,Hedge funds,4,FINANCE & INVESTMENTS,"Hedge funds, Self Made","Hedge funds, Self Made",,8,,4,4,,8,,,,
